2017,1,DFW,LGA,31.0,11750.0,442.04857076458285,420.13148548678106
2017,1,EWR,IAD,44.0,6371.0,342.9730941704036,357.65577474302546
2017,1,JAX,JAN,45.0,1374.0,606.1571428571428,270.7775511275205
2017,1,DEN,IAD,65.0,11473.0,624.0741144414169,496.09952782193335
2017,1,AVL,ORD,144.0,1178.0,431.18905472636817,186.87392562795375
2017,1,IAH,MCO,31.0,9999.0,415.96089706728003,384.93830998966416
2017,1,HOU,COS,293.0,985.0,511.44444444444446,192.8458653375223
2017,1,DCA,ATL,34.0,2343.0,396.9508807588076,259.26994568711797
2017,1,DEN,BWI,37.0,8293.0,495.6976430976431,328.360617167833
2017,1,MKE,PSP,45.0,1226.0,506.74615384615385,231.425120126149
2017,1,CLT,MSP,45.0,9924.0,531.3101314771849,370.7977349520503
2017,1,MTJ,PHL,378.0,3228.0,673.8166666666667,406.2748294020314
2017,1,AZA,BIS,50.0,616.0,271.9758620689655,108.44010084238924
2017,1,BNA,RSW,79.0,1755.0,426.27032967032966,231.42430922846782
2017,1,PBG,MCO,32.0,536.0,140.77898550724638,88.56515871720336
2017,1,DEN,TPA,34.0,2156.0,453.92552617377225,265.500051578186
2017,1,FSD,STL,108.0,1106.0,418.6236559139785,182.70544802677045
2017,1,PBI,SDF,41.0,1199.0,468.51528384279476,190.9234162219785
2017,1,SAN,MOB,227.0,2094.0,590.4230769230769,286.38560102071125
2017,1,DSM,EUG,237.0,837.0,474.26666666666665,164.6049238400266
2017,1,OGG,FAT,210.0,2041.0,718.4193548387096,367.7892548902044
2017,1,IAH,CRP,69.0,1283.0,355.0521739130435,183.41491853642626
2017,1,OKC,RIC,137.0,1208.0,486.75206611570246,220.61271801476505
2017,1,ANC,TYR,436.0,553.0,494.5,82.73149339882606
2017,1,GPT,DFW,156.0,837.0,395.06293706293707,151.6498569390119
2017,1,CMH,OMA,138.0,950.0,457.42105263157896,170.79581349412734
2017,1,PSC,SFO,68.0,1591.0,294.0238095238095,159.01459099175423
2017,1,AEX,ART,258.0,1075.0,666.25,246.26568115408554
2017,1,SDF,GSO,150.0,1046.0,445.13953488372096,182.93419985729344
2017,1,MEI,SLC,355.0,906.0,534.8,219.18645031114494
2017,1,FSD,CVG,187.0,936.0,548.0232558139535,177.79100737504413
2017,1,OAK,MSO,57.0,970.0,324.7758620689655,172.70358371554187
2017,1,ADQ,DTW,163.0,1560.0,861.5,987.8281733176069
2017,1,VPS,ATL,35.0,1955.0,528.0466666666666,251.4419445893653
2017,1,SFO,TXK,299.0,955.0,532.25,175.29765162906966
2017,1,TUS,LAS,48.0,1481.0,316.8090692124105,137.90329047998867
2017,1,SAT,ANC,163.0,1584.0,548.8235294117648,270.9246145473275
2017,1,LGA,BZN,194.0,2307.0,611.1298701298701,293.0405826168415
2017,1,AUS,JAX,45.0,1980.0,439.969696969697,250.63147405755402
2017,1,RIC,OMA,41.0,1049.0,473.9186046511628,208.94492463840254
2017,1,HOU,SAN,68.0,1297.0,466.43739837398374,245.1038646416574
2017,1,IAH,BDL,45.0,2170.0,610.8435517970402,306.32432139626695
2017,1,PIT,SJC,88.0,1766.0,566.0716981132075,285.1423995510431
2017,1,JAN,DFW,63.0,3500.0,466.0469208211144,252.50302997172636
2017,1,GRR,MSP,35.0,1720.0,549.9296407185628,268.59417924279205
2017,1,BOI,ACV,426.0,468.0,450.6666666666667,21.93931022920578
2017,1,SJU,RIC,110.0,2060.0,424.95391705069125,226.97464309316766
2017,1,OKC,FLL,86.0,1657.0,463.4539249146758,227.76708413726416
2017,1,IAH,AMA,156.0,1562.0,535.0595238095239,248.55524337770532
2017,1,SAT,HPN,172.0,1049.0,472.671875,211.4567053655372
2017,1,LEX,MCO,45.0,1326.0,529.356846473029,220.00412222656306
2017,1,MOB,MDW,94.0,1061.0,490.8,271.82087755300216
2017,1,VPS,DAY,123.0,1271.0,490.5869565217391,222.2819292964103
2017,1,RSW,MBS,37.0,1320.0,505.4032258064516,208.49794272503297
2017,1,LGA,BFF,192.0,618.0,479.2,180.9895024580155
2017,1,MLI,ASE,653.0,851.0,719.0,114.3153532995459
2017,1,GSP,MIA,41.0,1849.0,467.037037037037,235.10053128832106
2017,1,CLT,FCA,44.0,1273.0,532.6976744186046,249.18615482479694
2017,1,KOA,STL,96.0,2492.0,892.3364485981308,457.24286399881026
2017,1,VPS,IAD,152.0,2671.0,509.9789473684211,303.288465275376
2017,1,MSY,CHO,118.0,1048.0,516.2056074766355,228.30324662844754
2017,1,IND,ISN,105.0,908.0,472.125,223.85418564005323
2017,1,SJC,BOI,34.0,814.0,282.95961995249405,140.76393877981536
2017,1,CHO,AUS,165.0,1038.0,506.6847826086956,196.872577150852
2017,1,FCA,CAE,999.0,999.0,999.0,0.0
2017,1,RSW,ACY,32.0,594.0,159.15419501133786,102.30326479660214
2017,1,EAU,BWI,220.0,1614.0,575.0,530.7850789161278
2017,1,MCI,FAR,233.0,1953.0,673.5074626865671,330.85020748361234
2017,1,BZN,MIA,104.0,1902.0,768.8775510204082,361.83770721214813
2017,1,PPG,DCA,2040.0,3095.0,2484.8333333333335,381.7037682112487
2017,1,GJT,RDU,385.0,1187.0,574.7368421052631,203.01993391598637
2017,1,SJT,MRY,495.0,1017.0,803.375,181.8256130786545
2017,1,IMT,ATL,417.0,752.0,625.75,148.27985927517827
2017,1,MFR,JFK,152.0,1487.0,554.75,302.669130510699
2017,1,SEA,SHV,169.0,1435.0,515.5373134328358,266.0011579126204
2017,1,CPR,OMA,187.0,477.0,358.84615384615387,89.6575393314715
